channel_id,channel,classification
UCOz4l-jBF1buPHiUo8dkQVw,Will Roundtree,3.0
UCROnjZtQAwuNFonp58DHJ7g,Chris Wilburn,3.0
UCRYVxkBCFSD8glRONdX1c5g,propman4,3.0
UCTmdmrloDDM-TOyWZ9QZXIA,respectanimals,3.0
UCVWUBgb1BGwy4OhZzEusm4Q,Calvin King,3.0
UCVvxvugtuNZSygB4z4aVfsg,Tgowdysc,3.0
UCXejRdDVmJxYpguXcv-ZYsg,Next Exit,3.0
UCXqabOF57LXNexsLW9nkn8Q,iMatt U,3.0
UCZ_RoH-4Y4c-DsASjhMp_8Q,Paradise Birds Information Official,3.0
UCZnbZK8BNO9-JmY3vubuBhg,Pamela Geller,3.0
UC_ANheRNYVSRK4M-qniCO-w,Critical Thoughts,3.0
UC_ClwoHVGOc1FDRohQCpW4g,Kenny Bardwell,3.0
UC_KlxwLBVa4UOdMuVwMGpCg,BigSpeak Speakers Bureau,3.0
UC_jd0Uz6T7zAgBxC7Plc5Bg,IMPACT - BC's Auto Crime Police,3.0
UCcki0S_UMb2zAB5TeBTd-xA,testt,3.0
UCdLopXww9rQwDB0knKtAM9Q,delila smelcer,3.0
UCdNm9XNRihg86sOgTZ6t6MQ,King Of Fomo,3.0
UCd_KW49TjddmKsLyYKRCJOg,High Tide & Low Tide,3.0
UCe8ryJjjZEk76LWPG8zaHpw,Puppies/Videos/Compilation,3.0
UCfoOh3dLGAmomnIA4_-nbsw,John Whiting,3.0
UCieanQ7ZvDo9WiF23xvcIvQ,Naiah vs Elli,3.0
UCjB9v0HaeA-wlSdqbEiPN3g,libertynewsmedia,3.0
UCk7jHqdlFFDBhC1QIFqi54w,The Black Swan Group,3.0
UCkNPjHyQWCcMycUW1e71qSQ,KEEPING IT REAL WITH CREDIT,3.0
UCkSvBfqRkJVsCNeqHvyEdug,Bull Bosphorus,3.0
UCkaQEPhKX5USZSawfCl3hHQ,Jessica Vill,3.0
UClAfrZVHdW03J7Hwb5RC2nQ,Mihajlo Stojkovic,3.0
UClDKRUF0Yg7jUgBgDk2tB3A,directorsSeries,3.0
UClqXcJew_A3s8qiX-T4a9CA,Congressman Matt Gaetz,3.0
